<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	1.01547	1.01549	1.00772	1.00860	49762	234500000	43
2011.01.04	1.00855	1.00901	0.99977	1.00353	68611	497500000	23
2011.01.05	1.00355	1.00512	0.99238	0.99562	72769	287000000	30
2011.01.06	0.99565	0.99694	0.98972	0.99090	63145	1584500000	24
2011.01.07	0.99082	0.99217	0.98309	0.98882	71154	222500000	30
2011.01.10	0.98744	0.99008	0.98405	0.98642	69888	375500000	30
2011.01.11	0.98649	0.98730	0.97032	0.97151	70981	0	50
2011.01.12	0.97161	0.98442	0.97014	0.98172	69737	347500000	27
2011.01.13	0.98176	0.99111	0.97868	0.98784	65387	266000000	21
2011.01.14	0.98778	0.99064	0.97803	0.97933	67738	226000000	29
2011.01.17	0.97795	0.98476	0.97478	0.98029	53711	276000000	26
2011.01.18	0.98025	0.99096	0.97689	0.98997	77797	0	50
2011.01.19	0.98996	0.99931	0.98820	0.99305	80814	172000000	20
2011.01.20	0.99303	0.99481	0.98288	0.98362	90033	37000000	21
2011.01.21	0.98359	0.98662	0.98075	0.98259	78034	0	50
2011.01.24	0.98218	0.99426	0.98012	0.99041	64567	0	50
2011.01.25	0.99037	0.99443	0.98590	0.99287	80041	111000000	27
2011.01.26	0.99289	0.99543	0.98928	0.99316	74211	82000000	18
2011.01.27	0.99315	0.99460	0.98387	0.98590	80430	205500000	13
2011.01.28	0.98593	0.99507	0.98407	0.99489	77349	209000000	16
2011.01.31	0.98986	1.00193	0.98874	0.99686	80192	53000000	27
2011.02.01	0.99690	1.00553	0.99526	1.00055	83195	0	50
2011.02.02	1.00054	1.00294	0.99357	0.99750	70689	273500000	26
2011.02.03	0.99783	1.00666	0.99674	1.00596	71161	145000000	26
2011.02.04	1.00581	1.00936	0.99986	1.00059	50995	351000000	24
2011.02.07	1.00026	1.00440	0.99833	1.00360	45623	353500000	23
2011.02.08	1.00378	1.01236	1.00151	1.00888	45552	266500000	24
2011.02.09	1.00907	1.00989	1.00291	1.00466	46854	131000000	26
2011.02.10	1.00466	1.00687	0.99616	0.99636	62552	249000000	21
2011.02.11	0.99638	0.99793	0.98808	0.98930	44256	262000000	25
2011.02.14	0.98844	0.99247	0.98743	0.99164	59256	0	50
2011.02.15	0.99160	0.99251	0.98350	0.98610	59095	0	50
2011.02.16	0.98639	0.99034	0.98327	0.98719	60078	215000000	26
2011.02.17	0.98718	0.99713	0.98606	0.99518	51160	339000000	23
2011.02.18	0.99517	1.00142	0.99237	1.00068	53628	217500000	24
2011.02.21	0.99907	0.99977	0.98952	0.99116	45991	4000000	31
2011.02.22	0.99119	0.99144	0.98446	0.98879	81694	158000000	21
2011.02.23	0.98882	0.99551	0.98855	0.99205	76169	144000000	23
