<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	0.85822	0.86449	0.85403	0.86234	58689	0	10
2011.01.04	0.86241	0.86360	0.85253	0.85330	76445	0	10
2011.01.05	0.85329	0.85407	0.84705	0.84794	75209	0	10
2011.01.06	0.84797	0.84871	0.84009	0.84100	67316	0	10
2011.01.07	0.84099	0.84258	0.82971	0.83000	79394	0	10
2011.01.10	0.82977	0.83384	0.82847	0.83128	69512	0	10
2011.01.11	0.83130	0.83357	0.82943	0.83123	75074	0	10
2011.01.12	0.83126	0.83378	0.82997	0.83351	78892	0	10
2011.01.13	0.83348	0.84406	0.83126	0.84308	77203	0	10
2011.01.14	0.84307	0.84977	0.83900	0.84343	76531	0	10
2011.01.17	0.84207	0.84267	0.83476	0.83568	62873	0	10
2011.01.18	0.83573	0.84052	0.83305	0.83845	75579	0	10
2011.01.19	0.83845	0.84522	0.83761	0.84183	75710	0	10
2011.01.20	0.84181	0.84793	0.84120	0.84664	78346	0	10
2011.01.21	0.84664	0.85272	0.84590	0.85100	76897	0	10
2011.01.24	0.85076	0.85517	0.84920	0.85344	69047	0	10
2011.01.25	0.85342	0.86669	0.85303	0.86474	80536	0	10
2011.01.26	0.86474	0.86713	0.85967	0.86058	76600	0	10
2011.01.27	0.86058	0.86279	0.85813	0.86160	73597	0	4
2011.01.28	0.86162	0.86528	0.85702	0.85802	72388	0	5
2011.01.31	0.85750	0.86184	0.85305	0.85487	73896	0	10
2011.02.01	0.85488	0.85688	0.85096	0.85664	76025	0	10
2011.02.02	0.85664	0.85756	0.85131	0.85289	65997	0	10
2011.02.03	0.85283	0.85296	0.84380	0.84439	69106	0	10
2011.02.04	0.84441	0.84766	0.84229	0.84300	42740	0	10
2011.02.07	0.84262	0.84450	0.83887	0.84261	43437	0	10
2011.02.08	0.84260	0.85074	0.84183	0.84796	39931	0	10
2011.02.09	0.84778	0.85279	0.84741	0.85226	40271	0	10
2011.02.10	0.85227	0.85267	0.84436	0.84483	54628	0	10
2011.02.11	0.84478	0.84755	0.84227	0.84618	40658	0	10
2011.02.14	0.84488	0.84494	0.83983	0.84098	55420	0	10
2011.02.15	0.84107	0.84477	0.83549	0.83603	53973	0	10
2011.02.16	0.83618	0.84494	0.83606	0.84287	57802	0	10
2011.02.17	0.84285	0.84431	0.84002	0.84118	47116	0	10
2011.02.18	0.84119	0.84336	0.83584	0.84216	48816	0	10
2011.02.21	0.84233	0.84441	0.84097	0.84275	50317	0	10
2011.02.22	0.84274	0.84762	0.83837	0.84574	71301	0	10
2011.02.23	0.84574	0.84949	0.84219	0.84776	66391	0	10
2011.02.24	0.84777	0.85647	0.84699	0.85503	66381	0	10
