<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	1.33443	1.33945	1.32501	1.33499	63214	0	9
2011.01.04	1.33507	1.34330	1.32919	1.33104	80673	0	8
2011.01.05	1.33099	1.33247	1.31255	1.31485	83725	0	8
2011.01.06	1.31495	1.31699	1.29834	1.30022	73723	0	8
2011.01.07	1.30018	1.30206	1.29044	1.29055	82379	0	8
2011.01.10	1.28939	1.29639	1.28736	1.29451	73379	0	9
2011.01.11	1.29457	1.29920	1.29047	1.29731	81690	0	8
2011.01.12	1.29736	1.31442	1.29616	1.31280	85250	0	8
2011.01.13	1.31283	1.33828	1.30888	1.33477	83518	0	8
2011.01.14	1.33477	1.34562	1.33144	1.33875	81796	0	8
2011.01.17	1.33704	1.33820	1.32448	1.32758	69216	0	6
2011.01.18	1.32795	1.34644	1.32532	1.33851	87506	0	8
2011.01.19	1.33851	1.35372	1.33683	1.34557	90324	0	8
2011.01.20	1.34559	1.35223	1.33959	1.34638	91805	0	9
2011.01.21	1.34641	1.36238	1.34484	1.36196	87401	0	8
2011.01.24	1.36097	1.36851	1.35399	1.36401	83078	0	8
2011.01.25	1.36392	1.37023	1.35728	1.36801	93956	0	8
2011.01.26	1.36801	1.37210	1.36421	1.36976	89591	0	8
2011.01.27	1.36971	1.37573	1.36370	1.37278	92594	0	6
2011.01.28	1.37278	1.37454	1.35833	1.36102	88142	0	5
2011.01.31	1.35800	1.37385	1.35702	1.36908	90313	0	8
2011.02.01	1.36908	1.38419	1.36898	1.38238	92318	0	9
2011.02.02	1.38240	1.38607	1.37672	1.38045	83748	0	8
2011.02.03	1.38046	1.38248	1.36092	1.36251	82362	0	8
2011.02.04	1.36257	1.36748	1.35436	1.35800	53718	0	8
2011.02.07	1.35686	1.36256	1.35080	1.35774	56235	0	8
2011.02.08	1.35802	1.36871	1.35720	1.36277	52629	0	8
2011.02.09	1.36235	1.37424	1.36106	1.37237	51816	0	8
2011.02.10	1.37239	1.37272	1.35773	1.35936	68144	0	8
2011.02.11	1.35928	1.36204	1.34972	1.35513	49758	0	8
2011.02.14	1.35240	1.35579	1.34279	1.34885	68464	0	8
2011.02.15	1.34889	1.35498	1.34609	1.34851	64536	0	8
2011.02.16	1.34870	1.35873	1.34620	1.35601	68841	0	8
2011.02.17	1.35596	1.36174	1.35367	1.36051	57795	0	8
2011.02.18	1.36053	1.37138	1.35453	1.36923	62537	0	8
2011.02.21	1.36886	1.37150	1.36470	1.36746	53603	0	7
2011.02.22	1.36738	1.37026	1.35278	1.36540	83175	0	8
2011.02.23	1.36542	1.37860	1.36540	1.37491	74692	0	8
2011.02.24	1.37494	1.38180	1.37040	1.38017	75173	0	8
2011.02.25	1.38013	1.38372	1.37239	1.37523	68016	0	8
2011.02.28	1.37470	1.38546	1.37110	1.38088	72482	0	8
2011.03.01	1.38088	1.38532	1.37628	1.37750	79752	0	8
2011.03.02	1.37755	1.38897	1.37447	1.38633	73548	0	9
2011.03.03	1.38633	1.39728	1.38329	1.39596	74667	0	8
2011.03.04	1.39596	1.40052	1.39418	1.39863	59009	0	7
2011.03.07	1.39921	1.40354	1.39550	1.39682	74128	0	5
2011.03.08	1.39682	1.39881	1.38622	1.39023	70216	0	7
2011.03.09	1.39021	1.39411	1.38553	1.39045	70488	0	8
2011.03.10	1.39046	1.39236	1.37748	1.37999	74343	0	8
2011.03.11	1.37994	1.39147	1.37519	1.39016	70765	0	9
2011.03.14	1.39507	1.40026	1.39043	1.39935	73056	0	8
2011.03.15	1.39941	1.40123	1.38550	1.39714	88130	0	8
2011.03.16	1.39710	1.40003	1.38665	1.39121	88893	0	8
2011.03.17	1.39126	1.40518	1.38691	1.40152	90125	0	9
2011.03.18	1.40156	1.41831	1.39801	1.41793	76710	0	8
2011.03.21	1.41808	1.42395	1.41411	1.42138	61146	0	8
2011.03.22	1.42140	1.42479	1.41788	1.41884	62172	0	8
2011.03.23	1.41881	1.42140	1.40767	1.40988	73682	0	8
