<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	1.55431	1.55744	1.54329	1.54794	73002	0	15
2011.01.04	1.54793	1.56448	1.54535	1.55960	88459	0	15
2011.01.05	1.55958	1.56266	1.54502	1.55030	90844	0	15
2011.01.06	1.55035	1.55609	1.54454	1.54568	84543	0	15
2011.01.07	1.54580	1.55781	1.54057	1.55457	91983	0	15
2011.01.10	1.55354	1.56017	1.54746	1.55707	86861	0	15
2011.01.11	1.55700	1.56384	1.55122	1.56016	86621	0	15
2011.01.12	1.56022	1.57795	1.55824	1.57449	92852	0	15
2011.01.13	1.57484	1.58827	1.57175	1.58291	93798	0	15
2011.01.14	1.58291	1.58876	1.58114	1.58667	89579	0	15
2011.01.17	1.58734	1.59531	1.58347	1.58840	78999	0	15
2011.01.18	1.58840	1.60577	1.58824	1.59603	96283	0	18
2011.01.19	1.59604	1.60368	1.59450	1.59816	98065	0	14
2011.01.20	1.59815	1.60086	1.58381	1.58986	98526	0	15
2011.01.21	1.58989	1.60149	1.58669	1.59981	94924	0	17
2011.01.24	1.59937	1.60127	1.59203	1.59788	86629	0	15
2011.01.25	1.59783	1.60152	1.57509	1.58163	104179	0	15
2011.01.26	1.58163	1.59366	1.57691	1.59131	101601	0	15
2011.01.27	1.59131	1.59890	1.58793	1.59290	102687	0	8
2011.01.28	1.59287	1.59655	1.58245	1.58592	96759	0	7
2011.01.31	1.58319	1.60471	1.58213	1.60110	97931	0	15
2011.02.01	1.60112	1.61624	1.60098	1.61327	100259	0	15
2011.02.02	1.61327	1.62291	1.61267	1.61833	92837	0	15
2011.02.03	1.61835	1.62767	1.61213	1.61329	93394	0	15
2011.02.04	1.61329	1.61710	1.60362	1.61089	63437	0	15
2011.02.07	1.60966	1.61842	1.60895	1.61111	62875	0	15
2011.02.08	1.61131	1.61617	1.60276	1.60681	59755	0	15
2011.02.09	1.60680	1.61233	1.60328	1.60993	60536	0	15
2011.02.10	1.60994	1.61367	1.60121	1.60858	80246	0	15
2011.02.11	1.60860	1.61113	1.59626	1.60049	59580	0	15
2011.02.14	1.60038	1.60765	1.59808	1.60354	80160	0	15
2011.02.15	1.60354	1.61697	1.60069	1.61252	78818	0	15
2011.02.16	1.61272	1.61839	1.59863	1.60843	79858	0	16
2011.02.17	1.60836	1.61851	1.60750	1.61704	68435	0	15
2011.02.18	1.61705	1.62614	1.61473	1.62521	70893	0	15
2011.02.21	1.62420	1.62548	1.62032	1.62236	65552	0	15
2011.02.22	1.62239	1.62274	1.61003	1.61411	89255	0	15
2011.02.23	1.61412	1.62719	1.61411	1.62133	86792	0	15
2011.02.24	1.62135	1.62528	1.60845	1.61370	85525	0	15
2011.02.25	1.61373	1.61597	1.60305	1.61162	78018	0	15
2011.02.28	1.60826	1.62740	1.60705	1.62644	84227	0	15
2011.03.01	1.62644	1.63281	1.62503	1.62633	89550	0	15
2011.03.02	1.62632	1.63430	1.62145	1.63233	78142	0	15
2011.03.03	1.63234	1.63328	1.62524	1.62725	82845	0	15
2011.03.04	1.62726	1.63043	1.62350	1.62666	70114	0	10
2011.03.07	1.62758	1.63401	1.61813	1.62042	74178	0	15
2011.03.08	1.62042	1.62074	1.61249	1.61604	76702	0	15
2011.03.09	1.61604	1.62419	1.61382	1.62003	73418	0	16
2011.03.10	1.62007	1.62116	1.60386	1.60609	81994	0	15
2011.03.11	1.60622	1.60864	1.59766	1.60784	80628	0	15
2011.03.14	1.60827	1.61976	1.60268	1.61780	83170	0	15
2011.03.15	1.61781	1.61832	1.59780	1.60692	98312	0	15
2011.03.16	1.60692	1.61302	1.59823	1.60062	97835	0	15
2011.03.17	1.60064	1.61684	1.59825	1.61311	102297	0	17
2011.03.18	1.61318	1.62525	1.60599	1.62323	89168	0	15
2011.03.21	1.62287	1.63262	1.62026	1.63048	75442	0	15
2011.03.22	1.63048	1.64001	1.62917	1.63709	78119	0	15
2011.03.23	1.63708	1.63819	1.62184	1.62419	85772	0	15
2011.03.24	1.62421	1.62658	1.60906	1.61246	83599	0	15
2011.03.25	1.61244	1.61409	1.60062	1.60398	75769	0	15
2011.03.28	1.60075	1.60368	1.59357	1.59901	74834	0	15
2011.03.29	1.59893	1.60413	1.59423	1.60052	75170	0	15
2011.03.30	1.60055	1.60817	1.59778	1.60767	78586	0	15
2011.03.31	1.60767	1.61498	1.60162	1.60388	77613	0	15
2011.04.01	1.60387	1.61309	1.59717	1.61085	75209	0	15
2011.04.04	1.61092	1.61759	1.61062	1.61278	69340	0	15
2011.04.05	1.61278	1.62978	1.60912	1.62931	68181	0	15
