<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	0.93359	0.93824	0.93188	0.93377	65098	0	14
2011.01.04	0.93376	0.95159	0.93260	0.94780	83577	0	13
2011.01.05	0.94780	0.96843	0.94685	0.96571	86934	0	13
2011.01.06	0.96576	0.97071	0.96102	0.96527	76550	0	12
2011.01.07	0.96529	0.96895	0.96033	0.96697	82430	0	14
2011.01.10	0.96837	0.97260	0.96303	0.96772	77708	0	15
2011.01.11	0.96770	0.97826	0.96596	0.97359	84747	0	15
2011.01.12	0.97358	0.97550	0.96609	0.96645	88767	0	14
2011.01.13	0.96648	0.97631	0.96122	0.96416	85343	0	14
2011.01.14	0.96419	0.96863	0.96042	0.96320	82623	0	14
2011.01.17	0.96326	0.96760	0.96310	0.96503	71286	0	13
2011.01.18	0.96497	0.96555	0.95517	0.96340	87921	0	14
2011.01.19	0.96339	0.96457	0.95204	0.95585	90022	0	7
2011.01.20	0.95586	0.96831	0.95268	0.96723	92656	0	15
2011.01.21	0.96727	0.96860	0.95724	0.95810	85233	0	15
2011.01.24	0.95829	0.96221	0.94719	0.94873	80627	0	14
2011.01.25	0.94877	0.95218	0.94028	0.94230	94579	0	14
2011.01.26	0.94230	0.94643	0.94006	0.94282	85950	0	13
2011.01.27	0.94282	0.94807	0.93895	0.94603	88577	0	10
2011.01.28	0.94601	0.94706	0.94050	0.94165	83498	0	9
2011.01.31	0.94209	0.94480	0.93713	0.94414	85076	0	14
2011.02.01	0.94417	0.94545	0.93365	0.93531	87927	0	14
2011.02.02	0.93532	0.94409	0.93284	0.94034	81940	0	13
2011.02.03	0.94033	0.95239	0.93946	0.94586	80514	0	13
2011.02.04	0.94586	0.95925	0.94527	0.95496	54914	0	13
2011.02.07	0.95602	0.95961	0.95293	0.95567	57434	0	14
2011.02.08	0.95555	0.96420	0.95232	0.96293	51719	0	13
2011.02.09	0.96313	0.96601	0.95536	0.95775	51222	0	15
2011.02.10	0.95775	0.97017	0.95773	0.96931	68501	0	13
2011.02.11	0.96933	0.97741	0.96780	0.97298	52649	0	13
2011.02.14	0.97290	0.97434	0.96910	0.96993	68076	0	13
2011.02.15	0.96992	0.97285	0.96511	0.96698	65941	0	12
2011.02.16	0.96690	0.97378	0.95538	0.95964	71927	0	14
2011.02.17	0.95969	0.96012	0.94779	0.94953	61621	0	13
2011.02.18	0.94956	0.95384	0.94362	0.94427	63820	0	11
2011.02.21	0.94592	0.94885	0.94359	0.94658	60406	0	12
2011.02.22	0.94658	0.95048	0.93656	0.93828	84698	0	13
2011.02.23	0.93829	0.93911	0.93072	0.93302	75923	0	12
2011.02.24	0.93302	0.93307	0.92334	0.92537	83956	0	12
2011.02.25	0.92534	0.93176	0.92397	0.92804	73264	0	10
2011.02.28	0.92799	0.93056	0.92589	0.92851	74426	0	12
2011.03.01	0.92851	0.93213	0.92735	0.92813	80981	0	12
2011.03.02	0.92817	0.92901	0.92014	0.92353	73488	0	14
2011.03.03	0.92354	0.93266	0.92320	0.93164	77800	0	13
2011.03.04	0.93166	0.93280	0.92242	0.92442	61788	0	10
