<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.17	6.39601	6.40979	6.39532	6.40924	15077	22574834000	22
2015.11.18	6.41169	6.41973	6.40189	6.41649	24651	26550149000	0
2015.11.19	6.41627	6.41727	6.40189	6.40189	23254	20970448000	0
2015.11.20	6.40359	6.42100	6.40299	6.41931	23555	18111362000	0
2015.11.23	6.41183	6.43498	6.41183	6.42645	17973	15115190000	0
2015.11.24	6.42617	6.43271	6.42197	6.42622	13952	10465084000	5
2015.11.25	6.42625	6.42823	6.41452	6.42186	21003	15819444000	5
2015.11.26	6.42189	6.43906	6.41899	6.43341	13249	9081260000	2
2015.11.27	6.43331	6.45794	6.43231	6.44756	18351	14338046000	0
2015.11.30	6.44853	6.46079	6.41571	6.42395	35717	28295934000	0
2015.12.01	6.42359	6.44990	6.42359	6.44569	25034	11286996000	0
2015.12.02	6.44409	6.45021	6.43614	6.44600	32154	0	212
2015.12.03	6.44797	6.45429	6.41931	6.42069	23639	0	245
2015.12.04	6.42072	6.45079	6.42041	6.44372	17972	0	245
2015.12.07	6.44427	6.47419	6.44221	6.47067	20593	0	0
2015.12.08	6.47232	6.49855	6.47078	6.48677	29376	0	245
2015.12.09	6.48652	6.52227	6.48528	6.50152	26694	0	245
2015.12.10	6.50382	6.54304	6.48759	6.49737	37180	0	245
2015.12.11	6.49727	6.56139	6.49687	6.53057	29515	0	245
2015.12.14	6.53397	6.55950	6.53211	6.55415	20088	0	245
2015.12.15	6.55212	6.55340	6.52640	6.53829	18389	5885000000	60
2015.12.16	6.53852	6.54412	6.51372	6.52245	17367	8206500000	0
2015.12.17	6.52367	6.57070	6.52301	6.56637	15939	7322000000	0
2015.12.18	6.56612	6.57328	6.55050	6.55172	12781	5660000000	0
2015.12.21	6.55377	6.55733	6.54620	6.54903	10526	4585500000	0
2015.12.22	6.55150	6.55187	6.52460	6.52507	11062	4678500000	0
2015.12.23	6.53150	6.54836	6.52577	6.54361	9559	4082500000	0
2015.12.24	6.54500	6.54770	6.52995	6.54001	7402	3290500000	0
2015.12.28	6.54092	6.56433	6.53462	6.55854	7872	3498500000	0
2015.12.29	6.56015	6.58166	6.55749	6.57524	11786	5208000000	0
2015.12.30	6.57675	6.60983	6.56186	6.56576	17451	8185500000	0
2015.12.31	6.56600	6.59240	6.56418	6.56675	12443	5763000000	0
2016.01.04	6.56917	6.63433	6.56872	6.62811	18506	8283000000	0
2016.01.05	6.62837	6.65356	6.62650	6.64365	18587	8506500000	0
2016.01.06	6.64395	6.73125	6.63540	6.69296	30244	14471000000	0
2016.01.07	6.69515	6.76363	6.66291	6.67970	37433	17751000000	0
2016.01.08	6.68174	6.69103	6.65070	6.68089	22343	9828000000	60
2016.01.11	6.68799	6.69070	6.58294	6.58294	22094	10854500000	60
2016.01.12	6.59355	6.60720	6.56535	6.57570	32880	13799500000	0
2016.01.13	6.57591	6.58179	6.55963	6.56467	20564	9127500000	0
2016.01.14	6.56587	6.62510	6.56584	6.59931	19723	8790000000	0
2016.01.15	6.60115	6.61992	6.59771	6.61351	14332	8068750000	0
2016.01.18	6.59857	6.60347	6.57211	6.58338	16556	34421750000	0
2016.01.19	6.58318	6.60887	6.58279	6.58913	13344	10457000000	16
2016.01.20	6.59003	6.61198	6.58794	6.60114	13936	5972500000	0
2016.01.21	6.60205	6.61910	6.53677	6.60170	12336	5191500000	0
2016.01.22	6.60172	6.61560	6.60044	6.60938	10118	3657500000	0
2016.01.25	6.60883	6.61835	6.60141	6.60879	9507	3435000000	0
