<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	81.106	81.746	81.071	81.732	38284	0	10
2011.01.04	81.733	82.275	81.608	82.089	56394	0	9
2011.01.05	82.085	83.369	81.879	83.218	60065	0	9
2011.01.06	83.217	83.386	82.878	83.274	54985	0	9
2011.01.07	83.267	83.674	82.850	83.133	59916	0	9
2011.01.10	83.138	83.274	82.665	82.689	47813	0	9
2011.01.11	82.684	83.488	82.681	83.326	50130	0	9
2011.01.12	83.326	83.459	82.808	83.023	52824	0	9
2011.01.13	83.023	83.146	82.547	82.759	54080	0	9
2011.01.14	82.756	83.059	82.408	82.847	58408	0	9
2011.01.17	82.880	82.999	82.367	82.680	50504	0	8
2011.01.18	82.681	82.813	82.328	82.602	64018	0	9
2011.01.19	82.597	82.679	81.846	82.099	68572	0	10
2011.01.20	82.099	83.113	82.036	82.976	67405	0	9
2011.01.21	82.975	83.078	82.526	82.552	63860	0	10
2011.01.24	82.661	82.913	82.301	82.529	59613	0	10
2011.01.25	82.528	82.658	81.975	82.193	69347	0	10
2011.01.26	82.194	82.598	81.976	82.238	67335	0	9
2011.01.27	82.223	83.196	82.017	82.832	72542	0	7
2011.01.28	82.832	82.918	81.987	82.111	70789	0	4
2011.01.31	82.134	82.249	81.901	82.055	70793	0	9
2011.02.01	82.054	82.142	81.307	81.358	72492	0	10
2011.02.02	81.360	81.851	81.355	81.539	67605	0	9
2011.02.03	81.540	82.051	81.399	81.620	62337	0	10
2011.02.04	81.619	82.448	81.129	82.162	47922	0	9
2011.02.07	82.247	82.459	82.153	82.332	44345	0	9
2011.02.08	82.327	82.415	81.775	82.278	42347	0	9
2011.02.09	82.287	82.657	82.204	82.355	45750	0	10
2011.02.10	82.352	83.358	82.332	83.340	61329	0	10
2011.02.11	83.340	83.666	83.235	83.418	39344	0	9
2011.02.14	83.451	83.491	83.093	83.270	58436	0	10
2011.02.15	83.271	83.909	83.192	83.740	58331	0	9
2011.02.16	83.699	83.964	83.491	83.661	57350	0	9
2011.02.17	83.662	83.728	83.157	83.317	46613	0	9
2011.02.18	83.316	83.512	83.027	83.162	49069	0	10
2011.02.21	83.111	83.527	83.016	83.131	44595	0	10
2011.02.22	83.129	83.419	82.577	82.769	67790	0	9
2011.02.23	82.771	82.881	82.314	82.410	57615	0	10
2011.02.24	82.411	82.473	81.621	81.907	61333	0	9
2011.02.25	81.917	82.055	81.639	81.662	54277	0	10
2011.02.28	81.670	81.972	81.616	81.764	57956	0	9
2011.03.01	81.761	82.228	81.729	81.902	67234	0	10
2011.03.02	81.896	82.107	81.576	81.809	55700	0	10
2011.03.03	81.803	82.507	81.721	82.395	59572	0	9
2011.03.04	82.401	83.026	82.208	82.303	53847	0	9
2011.03.07	82.221	82.381	81.947	82.305	62664	0	9
2011.03.08	82.307	82.847	82.206	82.668	57549	0	10
2011.03.09	82.675	82.926	82.569	82.756	59270	0	10
2011.03.10	82.758	83.163	82.694	82.896	66045	0	10
2011.03.11	82.896	83.287	81.651	81.867	68770	0	10
2011.03.14	81.477	82.426	81.201	81.714	70139	0	9
2011.03.15	81.712	81.958	80.605	80.780	84141	0	10
2011.03.16	80.775	81.162	76.404	78.473	87950	0	10
2011.03.17	78.470	79.729	78.253	79.168	112113	0	13
2011.03.18	79.167	81.957	79.089	80.582	90733	0	9
2011.03.21	80.867	81.310	80.744	81.248	55037	0	10
2011.03.22	81.248	81.277	80.845	81.038	59528	0	10
2011.03.23	81.039	81.061	80.698	80.931	64088	0	10
2011.03.24	80.932	81.048	80.760	80.986	56331	0	9
2011.03.25	80.985	81.484	80.871	81.330	49277	0	10
2011.03.28	81.393	81.840	81.377	81.720	50002	0	10
2011.03.29	81.718	82.473	81.536	82.464	58068	0	9
2011.03.30	82.461	83.180	82.363	82.916	65715	0	10
2011.03.31	82.918	83.213	82.564	83.171	66617	0	10
2011.04.01	83.171	84.713	83.160	84.042	64001	0	9
2011.04.04	84.131	84.364	83.851	84.142	53607	0	10
2011.04.05	84.142	85.217	84.052	85.159	51215	0	9
2011.04.06	85.159	85.514	84.838	85.402	58347	0	9
2011.04.07	85.404	85.492	84.588	85.019	60464	0	9
2011.04.08	85.018	85.386	84.675	84.761	54355	0	9
2011.04.11	84.901	85.147	84.510	84.655	49466	0	9
